Category,Detail,Cost,Date
Eating Out,Brunch,€15.00,25-Jul
Shopping,Uniqlo,€144.50,25-Jul
Hobbies,Salsa Class,€130.00,27-Jul
Groceries,Groceries,€6.78,27-Jul
Eating Out,Ditsch,€2.00,27-Jul
Groceries,Groceries,€45.27,27-Jul
Rent + Bills,Shared Rent + Bills expenses,€14.18,28-Jul
Groceries,Groceries,€10.89,29-Jul
Groceries,Groceries,€29.06,29-Jul
Eating Out,Ditsch,€2.20,29-Jul
Rent + Bills,Moving,€17.78,31-Jul
Investment,Weekly ETH,€6.00,1-Aug
Groceries,Groceries,€65.17,1-Aug
Rent + Bills,Rent,€500.00,1-Aug
Transport,BVG,€9.00,1-Aug
Rent + Bills,Phone,€20.00,12-Aug
Investment,Weekly ETH,€6.00,25-Jul
Investment,Weekly ETH,€10.00,8-Aug
Investment,Weekly ETH,€10.00,15-Aug
Investment,Weekly ETH,€10.00,22-Aug
Rent + Bills,Postal re-route,€30.90,2-Aug
Groceries,Groceries,€19.59,3-Aug
Eating Out,Snacks,€1.00,3-Aug
Hobbies,Salsa Class,€39.00,5-Aug
Investment,Bi-Weekly ETF,€50.00,16-Aug
Investment,Stock,€10.00,16-Aug
Groceries,Groceries,€19.49,3-Aug
Groceries,Groceries,€18.62,6-Aug
Rent + Bills,Passport photos,€10.00,8-Aug
Eating Out,Restaurant + Drinks,€25.30,6-Aug
Hobbies,Salsa Festival Surcharge,€5.34,8-Aug
Rent + Bills,Driver license conversion,€36.30,8-Aug
Transport,BVG,€11.50,8-Aug
Groceries,Groceries,€30.62,9-Aug
Student Loan,Student Loan,€86.40,10-Aug
Groceries,Groceries,€31.30,11-Aug
Groceries,Groceries,€18.99,12-Aug
Eating Out,Sisyphos,€38.00,13-Aug
Rent + Bills,Google,€1.88,4-Aug
Rent + Bills,Patreon,€1.77,1-Aug
Rent + Bills,Insurance,€4.94,29-Jul
Groceries,Groceries,€6.72,15-Aug
Groceries,Groceries,€8.04,15-Aug
Eating Out,Post salsa pizza,€2.70,15-Aug
Groceries,Groceries,€5.16,16-Aug
Eating Out,Pub Quiz,€10.00,17-Aug
Groceries,Groceries,€1.43,18-Aug
Groceries,Groceries,€11.21,19-Aug
Eating Out,Brunch,€15.00,21-Aug
Groceries,Groceries,€33.73,20-Aug
Shopping,Flea market,€31.00,21-Aug
Eating Out,Juice,€5.20,21-Aug
Travel,Poland Bus,€1.00,22-Aug
Shopping,Birthday present,€25.79,23-Aug
Travel,Train castellvi,€5.50,24-Aug
Travel,YEGO,€3.90,24-Aug
Healthcare,Pills pills pills ,€17.72,24-Aug
Investment,Weekly ETH,€10.00,29-Aug
Investment,Weekly ETH,€10.00,5-Sep
Investment,Weekly ETH,€10.00,12-Sep
Investment,Weekly ETH,€10.00,19-Sep
Investment,Bi-Weekly ETF,€50.00,2-Sep
Investment,Bi-Weekly ETF,€50.00,16-Sep
Investment,Bi-Weekly Stock,€10.00,30-Aug
Investment,Bi-Weekly Stock,€10.00,13-Sep
Rent + Bills,Rent,€500.00,1-Sep
Rent + Bills,Phone,€25.19,12-Sep
Rent + Bills,Google,€1.88,4-Sep
Rent + Bills,Patreon,€1.77,1-Sep
Rent + Bills,Insurance,€4.94,29-Aug
Student Loan,Student Loan,€86.40,10-Sep
Transport,BVG,€63.42,1-Sep
Healthcare,Pills pills pills,€82.35,25-Aug
Healthcare,Tampons,€7.65,26-Aug
Groceries,Olive oil,€37.00,26-Aug
Shopping,Libro de la abuela,€25.75,26-Aug
Groceries,Spanish foooood,€43.28,30-Aug
Travel,Taxi airport,€26.15,31-Aug
Hobbies,Salsa,€120.00,6-Sep
Travel,Travel,€64.75,4-Sep
Healthcare,Finger cut,€12.50,3-Sep
Groceries,Groceries,€20.94,3-Sep
Eating Out,Thai park,€13.50,4-Sep
Groceries,Groceries,€8.79,5-Sep
Travel,Baptism flight,€61.49,5-Sep
Travel,Train tickets to visit Fran,€67.30,5-Sep
Healthcare,Teeth cleaning,€65.00,14-Sep
Travel,Poland hotel,€56.00,9-Sep
Rent + Bills,UK Phone,€10.00,13-Sep
Eating Out,Date,€18.50,8-Sep
Travel,Salsa Festival,€62.02,9-Sep
Transport,Extension ticket BVG,€1.80,12-Sep
Groceries,Groceries,€16.97,12-Sep
Transport,Extension ticket,€1.80,13-Sep
Shopping,Avanico,€1.50,14-Sep
Rent + Bills,Phone surcharge,€4.00,14-Sep
Groceries,Fruit,€0.72,19-Sep
Shopping,Hot water bottle,€6.75,20-Sep
Shopping,DM,€25.25,21-Sep
Shopping,Vase and tea spoon,€7.90,21-Sep
Groceries,Groceries,€22.06,21-Sep
Groceries,Groceries,€0.64,22-Sep
Groceries,Groceries,€6.24,23-Sep
Eating Out,Drinks,€14.80,23-Sep
Healthcare,Moisturiser,€8.69,24-Sep
Groceries,Groceries,€10.86,24-Sep
Investment,Weekly ETH,€10.00,26-Sep
Investment,Weekly ETH,€10.00,3-Oct
Investment,Weekly ETH,€10.00,10-Oct
Investment,Weekly ETH,€10.00,17-Oct
Investment,Bi-Weekly ETF,€50.00,3-Oct
Investment,Bi-Weekly ETF,€105.00,17-Oct
Investment,Bi-Weekly Stock,€10.00,3-Oct
Investment,Bi-Weekly Stock,€10.00,17-Oct
Rent + Bills,Rent,€500.00,1-Sep
Rent + Bills,Phone,€25.19,12-Oct
Rent + Bills,Google,€1.88,4-Oct
Rent + Bills,Patreon,€1.77,1-Oct
Rent + Bills,Insurance,€4.94,29-Sep
Student Loan,Student Loan,€86.40,10-Oct
Transport,BVG,€29.00,1-Oct
Rent + Bills,UK Phone,€10.00,13-Oct
Shopping,Shoes + jacket,€100.00,25-Sep
Groceries,Groceries,€40.00,26-Sep
Eating Out,Lunch,€10.00,27-Sep
Groceries,Groceries,€8.69,28-Sep
Transport,BVG extension ticket ,€1.80,28-Sep
Travel,Copenhagen,€143.00,2-Oct
Transport,BVG from airport,€4.15,2-Oct
Groceries,Groceries,€54.87,5-Oct
Travel,Flight back from BCN,€46.99,5-Oct
Transport,Train to Stratford,€10.50,5-Oct
Transport,Bus to airport,€11.47,5-Oct
Shopping,iPhone case,€11.36,6-Oct
Eating Out,Drinks,€15.30,7-Oct
Eating Out,Burger,€10.00,7-Oct
Shopping,Market,€30.00,8-Oct
Groceries,Groceries,€26.34,8-Oct
Groceries,Groceries,€14.11,8-Oct
Eating Out,Lunch,€14.50,11-Oct
Groceries,Groceries,€24.85,12-Oct
Transport,Airport BVG,€3.45,13-Oct
Shopping,Sweater,€39.90,14-Oct
Shopping,Eyebrows + cash,€11.50,15-Oct
Groceries,Groceries,€3.16,15-Oct
Transport,Train,€1.80,19-Oct
Eating Out,Boots meal deal,€5.84,19-Oct
Investment,Weekly ETH,€10.00,24-Oct
Healthcare,Pharmacy,€15.44,20-Oct
Groceries,Groceries,€43.34,20-Oct
Groceries,Groceries,€8.06,21-Oct
Groceries,Groceries,€28.72,22-Oct
Rent + Bills,Legal Insurance,€7.90,24-Oct
Rent + Bills,Rent,€500.00,1-Nov
Rent + Bills,Phone,€25.19,12-Nov
Rent + Bills,Google,€1.88,4-Nov
Rent + Bills,Personal Liability Insurance,€4.94,1-Nov
Student Loan,Student Loan,€86.40,10-Nov
Transport,BVG,€28.58,1-Nov
Rent + Bills,UK Phone,€10.00,13-Nov
Rent + Bills,Legal Insurance,€35.00,1-Nov
Eating Out,Lunch,€6.00,25-Oct
Eating Out,Lunch,€10.00,26-Oct
Transport,Train to airport ,€3.80,27-Oct
Transport,Train to airport ,€1.80,30-Oct
Transport,Train to potsdam,€7.60,2-Nov
Eating Out,Lunch in Potsdam,€14.25,2-Nov
Groceries,Supermarket,€1.72,2-Nov
Eating Out,Bubble Tea Ido,€5.10,4-Nov
Eating Out,"Drinks, Dinner, Comedy",€42.80,4-Nov
Eating Out,Bunker tour Mom visit,€28.00,4-Nov
Groceries,Groceries,€23.59,6-Nov
Eating Out,Snack,€1.00,8-Nov
Eating Out,Drinks with mom,€10.00,8-Nov
Groceries,Groceries,€21.08,10-Nov
Eating Out,Tacos and drinks,€28.30,11-Nov
Groceries,Groceries,€24.66,12-Nov
