Date,WeekofYear,DayofWeek,Category,Cost
2022-07-25,30,0,Eating Out,15.0
2022-07-25,30,0,Investment,6.0
2022-07-25,30,0,Shopping,144.5
2022-07-27,30,2,Eating Out,2.0
2022-07-27,30,2,Groceries,52.050000000000004
2022-07-27,30,2,Hobbies,130.0
2022-07-28,30,3,Rent + Bills,14.18
2022-07-29,30,4,Eating Out,2.2
2022-07-29,30,4,Groceries,39.95
2022-07-29,30,4,Rent + Bills,4.94
2022-07-31,30,6,Rent + Bills,17.78
2022-08-01,31,0,Groceries,65.17
2022-08-01,31,0,Investment,6.0
2022-08-01,31,0,Rent + Bills,501.77
2022-08-01,31,0,Transport,9.0
2022-08-02,31,1,Rent + Bills,30.9
2022-08-03,31,2,Eating Out,1.0
2022-08-03,31,2,Groceries,39.08
2022-08-04,31,3,Rent + Bills,1.88
2022-08-05,31,4,Hobbies,39.0
2022-08-06,31,5,Eating Out,25.3
2022-08-06,31,5,Groceries,18.62
2022-08-08,32,0,Hobbies,5.34
2022-08-08,32,0,Investment,10.0
2022-08-08,32,0,Rent + Bills,46.3
2022-08-08,32,0,Transport,11.5
2022-08-09,32,1,Groceries,30.62
2022-08-10,32,2,Student Loan,86.4
2022-08-11,32,3,Groceries,31.3
2022-08-12,32,4,Groceries,18.99
2022-08-12,32,4,Rent + Bills,20.0
2022-08-13,32,5,Eating Out,38.0
2022-08-15,33,0,Eating Out,2.7
2022-08-15,33,0,Groceries,14.759999999999998
2022-08-15,33,0,Investment,10.0
2022-08-16,33,1,Groceries,5.16
2022-08-16,33,1,Investment,60.0
2022-08-17,33,2,Eating Out,10.0
2022-08-18,33,3,Groceries,1.43
2022-08-19,33,4,Groceries,11.21
2022-08-20,33,5,Groceries,33.73
2022-08-21,33,6,Eating Out,20.2
2022-08-21,33,6,Shopping,31.0
2022-08-22,34,0,Investment,10.0
2022-08-22,34,0,Travel,1.0
2022-08-23,34,1,Shopping,25.79
2022-08-24,34,2,Healthcare,17.72
2022-08-24,34,2,Travel,9.4
2022-08-25,34,3,Healthcare,82.35
2022-08-26,34,4,Groceries,37.0
2022-08-26,34,4,Healthcare,7.65
2022-08-26,34,4,Shopping,25.75
2022-08-29,35,0,Investment,10.0
2022-08-29,35,0,Rent + Bills,4.94
2022-08-30,35,1,Groceries,43.28
2022-08-30,35,1,Investment,10.0
2022-08-31,35,2,Travel,26.15
2022-09-01,35,3,Rent + Bills,501.77
2022-09-01,35,3,Transport,63.42
2022-09-02,35,4,Investment,50.0
2022-09-03,35,5,Groceries,20.94
2022-09-03,35,5,Healthcare,12.5
2022-09-04,35,6,Eating Out,13.5
2022-09-04,35,6,Rent + Bills,1.88
2022-09-04,35,6,Travel,64.75
2022-09-05,36,0,Groceries,8.79
2022-09-05,36,0,Investment,10.0
2022-09-05,36,0,Travel,128.79
2022-09-06,36,1,Hobbies,120.0
2022-09-08,36,3,Eating Out,18.5
2022-09-09,36,4,Travel,118.02000000000001
2022-09-10,36,5,Student Loan,86.4
2022-09-12,37,0,Groceries,16.97
2022-09-12,37,0,Investment,10.0
2022-09-12,37,0,Rent + Bills,25.19
2022-09-12,37,0,Transport,1.8
2022-09-13,37,1,Investment,10.0
2022-09-13,37,1,Rent + Bills,10.0
2022-09-13,37,1,Transport,1.8
2022-09-14,37,2,Healthcare,65.0
2022-09-14,37,2,Rent + Bills,4.0
2022-09-14,37,2,Shopping,1.5
2022-09-16,37,4,Investment,50.0
2022-09-19,38,0,Groceries,0.72
2022-09-19,38,0,Investment,10.0
2022-09-20,38,1,Shopping,6.75
2022-09-21,38,2,Groceries,22.06
2022-09-21,38,2,Shopping,33.15
2022-09-22,38,3,Groceries,0.64
2022-09-23,38,4,Eating Out,14.8
2022-09-23,38,4,Groceries,6.24
2022-09-24,38,5,Groceries,10.86
2022-09-24,38,5,Healthcare,8.69
2022-09-25,38,6,Shopping,100.0
2022-09-26,39,0,Groceries,40.0
2022-09-26,39,0,Investment,10.0
2022-09-27,39,1,Eating Out,10.0
2022-09-28,39,2,Groceries,8.69
2022-09-28,39,2,Transport,1.8
2022-09-29,39,3,Rent + Bills,4.94
2022-10-01,39,5,Rent + Bills,501.77
2022-10-01,39,5,Transport,29.0
2022-10-02,39,6,Transport,4.15
2022-10-02,39,6,Travel,143.0
2022-10-03,40,0,Investment,70.0
2022-10-04,40,1,Rent + Bills,1.88
2022-10-05,40,2,Groceries,54.87
2022-10-05,40,2,Transport,21.97
2022-10-05,40,2,Travel,46.99
2022-10-06,40,3,Shopping,11.36
2022-10-07,40,4,Eating Out,25.3
2022-10-08,40,5,Groceries,40.45
2022-10-08,40,5,Shopping,30.0
2022-10-10,41,0,Investment,10.0
2022-10-10,41,0,Student Loan,86.4
2022-10-11,41,1,Eating Out,14.5
2022-10-12,41,2,Groceries,24.85
2022-10-12,41,2,Rent + Bills,25.19
2022-10-13,41,3,Rent + Bills,10.0
2022-10-13,41,3,Transport,3.45
2022-10-14,41,4,Shopping,39.9
2022-10-15,41,5,Groceries,3.16
2022-10-15,41,5,Shopping,11.5
2022-10-17,42,0,Investment,125.0
2022-10-19,42,2,Eating Out,5.84
2022-10-19,42,2,Transport,1.8
2022-10-20,42,3,Groceries,43.34
2022-10-20,42,3,Healthcare,15.44
2022-10-21,42,4,Groceries,8.06
2022-10-22,42,5,Groceries,28.72
2022-10-24,43,0,Investment,10.0
2022-10-24,43,0,Rent + Bills,7.9
2022-10-25,43,1,Eating Out,6.0
2022-10-26,43,2,Eating Out,10.0
2022-10-27,43,3,Transport,3.8
2022-10-30,43,6,Transport,1.8
2022-11-01,44,1,Rent + Bills,539.94
2022-11-01,44,1,Transport,28.58
2022-11-02,44,2,Eating Out,14.25
2022-11-02,44,2,Groceries,1.72
2022-11-02,44,2,Transport,7.6
2022-11-04,44,4,Eating Out,75.9
2022-11-04,44,4,Rent + Bills,1.88
2022-11-06,44,6,Groceries,23.59
2022-11-08,45,1,Eating Out,11.0
2022-11-10,45,3,Groceries,21.08
2022-11-10,45,3,Student Loan,86.4
2022-11-11,45,4,Eating Out,28.3
2022-11-12,45,5,Groceries,24.66
2022-11-12,45,5,Rent + Bills,52.790000000000006
2022-11-13,45,6,Rent + Bills,10.0
2022-11-15,46,1,Eating Out,6.2
2022-11-17,46,3,Groceries,11.82
2022-11-18,46,4,Groceries,7.34
