Category,Detail,Cost,Date
Eating Out,Brunch,€15.00,25-Jul-2022
Shopping,Uniqlo,€144.50,25-Jul-2022
Hobbies,Salsa Class,€130.00,27-Jul-2022
Groceries,Groceries,€6.78,27-Jul-2022
Eating Out,Ditsch,€2.00,27-Jul-2022
Groceries,Groceries,€45.27,27-Jul-2022
Rent + Bills,Shared Rent + Bills expenses,€14.18,28-Jul-2022
Groceries,Groceries,€10.89,29-Jul-2022
Groceries,Groceries,€29.06,29-Jul-2022
Eating Out,Ditsch,€2.20,29-Jul-2022
Rent + Bills,Moving,€17.78,31-Jul-2022
Investment,Weekly ETH,€6.00,1-Aug-2022
Groceries,Groceries,€65.17,1-Aug-2022
Rent + Bills,Rent,€500.00,1-Aug-2022
Transport,BVG,€9.00,1-Aug-2022
Rent + Bills,Phone,€20.00,12-Aug-2022
Investment,Weekly ETH,€6.00,25-Jul-2022
Investment,Weekly ETH,€10.00,8-Aug-2022
Investment,Weekly ETH,€10.00,15-Aug-2022
Investment,Weekly ETH,€10.00,22-Aug-2022
Rent + Bills,Postal re-route,€30.90,2-Aug-2022
Groceries,Groceries,€19.59,3-Aug-2022
Eating Out,Snacks,€1.00,3-Aug-2022
Hobbies,Salsa Class,€39.00,5-Aug-2022
Investment,Bi-Weekly ETF,€50.00,16-Aug-2022
Investment,Stock,€10.00,16-Aug-2022
Groceries,Groceries,€19.49,3-Aug-2022
Groceries,Groceries,€18.62,6-Aug-2022
Rent + Bills,Passport photos,€10.00,8-Aug-2022
Eating Out,Restaurant + Drinks,€25.30,6-Aug-2022
Hobbies,Salsa Festival Surcharge,€5.34,8-Aug-2022
Rent + Bills,Driver license conversion,€36.30,8-Aug-2022
Transport,BVG,€11.50,8-Aug-2022
Groceries,Groceries,€30.62,9-Aug-2022
Student Loan,Student Loan,€86.40,10-Aug-2022
Groceries,Groceries,€31.30,11-Aug-2022
Groceries,Groceries,€18.99,12-Aug-2022
Eating Out,Sisyphos,€38.00,13-Aug-2022
Rent + Bills,Google,€1.88,4-Aug-2022
Rent + Bills,Patreon,€1.77,1-Aug-2022
Rent + Bills,Insurance,€4.94,29-Jul-2022
Groceries,Groceries,€6.72,15-Aug-2022
Groceries,Groceries,€8.04,15-Aug-2022
Eating Out,Post salsa pizza,€2.70,15-Aug-2022
Groceries,Groceries,€5.16,16-Aug-2022
Eating Out,Pub Quiz,€10.00,17-Aug-2022
Groceries,Groceries,€1.43,18-Aug-2022
Groceries,Groceries,€11.21,19-Aug-2022
Eating Out,Brunch,€15.00,21-Aug-2022
Groceries,Groceries,€33.73,20-Aug-2022
Shopping,Flea market,€31.00,21-Aug-2022
Eating Out,Juice,€5.20,21-Aug-2022
Travel,Poland Bus,€1.00,22-Aug-2022
Shopping,Birthday present,€25.79,23-Aug-2022
Travel,Train castellvi,€5.50,24-Aug-2022
Travel,YEGO,€3.90,24-Aug-2022
Healthcare,Pills pills pills ,€17.72,24-Aug-2022
Investment,Weekly ETH,€10.00,29-Aug-2022
